"PartNumber","PartDescription","PartDetails","UOM","UPC","PartType","Active","ABCCode","Weight","WeightUOM","Width","Height","Length","SizeUOM","PrimaryTracking","AlertNote","PictureUrl","Tracks-Lot Number","Tracks-Revision Level","Tracks-Expiration Date","Tracks-Serial Number","CF-Custom1","CF-Custom2","CF-Custom3","CF-Custom4"
"RA-50150","Resistor 5% 5W // Resistor 15 Ohm 5% 5W wire wound resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-15R",,,
"RA-50101","Resistor 5% 5W // Resistor 100 Ohm 5% 5W wire wound resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-100R",,,
"RB-01623","Resistor  1% // 162K ohm 1% 1/4 Watt Metal Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Panasonic // MFR-25FBF-162K",,,
"RB-01009","Resistor  1% // 10.0 ohm  1% 1/4 Watt Metal Flm Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // MFR-25FBF-10R",,,
"RB-01002","Resistor  1% // 10.0K ohm  1% 1/4 Watt Metal Film Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // 0",,,
"RA-50510","Resistor 5% 5W // Resistor 51 Ohm 5% 5W wire wound resistor",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // SQP500JB-51R",,,
"RA-00122","Resistor  5% // 1.2K ohm  5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-1K2",,,
"RA-00151","Resistor  5% // 150 ohm  5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-150R",,,
"RA-00105","Resistor  5% // 1M ohm  5% 1/4 Watt carbon resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-1M0",,,
"RA-00109","Resistor  5% // 1.0 ohm  5% 1/4 Watt Carbon Resistor  RoHS",,"ea",,"Inventory","true","C","0","lbs","0","0","0","ft",,,,"false","false","false","false","Yageo America // CFR-25JB-1R0",,,
